date,time,open,high,low,close,tickvol,vol,spread
2018.06.28,00:00:00,1252.927,1254.272,1245.947,1248.615,81126,0,0
2018.06.29,00:00:00,1248.587,1255.614,1246.083,1252.630,78921,0,0
2018.07.01,00:00:00,1253.063,1254.194,1252.837,1253.411,2197,0,0
2018.07.02,00:00:00,1253.376,1253.626,1239.692,1242.147,75155,0,0
2018.07.03,00:00:00,1242.147,1256.851,1237.953,1254.966,76703,0,0
2018.07.04,00:00:00,1254.965,1261.093,1254.023,1256.958,59800,0,0
2018.07.05,00:00:00,1256.953,1259.724,1251.304,1257.311,79007,0,0
2018.07.06,00:00:00,1257.358,1258.791,1252.820,1254.874,70035,0,0
2018.07.08,00:00:00,1255.890,1256.598,1255.713,1256.436,1155,0,0
2018.07.09,00:00:00,1256.413,1265.877,1255.469,1258.399,68889,0,0
2018.07.10,00:00:00,1258.387,1260.328,1247.370,1255.953,74833,0,0
2018.07.11,00:00:00,1255.951,1256.064,1241.553,1242.719,82595,0,0
2018.07.12,00:00:00,1242.716,1248.544,1241.331,1246.033,72280,0,0
2018.07.13,00:00:00,1245.983,1248.071,1236.459,1241.612,71429,0,0
2018.07.15,00:00:00,1241.673,1242.154,1241.115,1241.164,1335,0,0
2018.07.16,00:00:00,1241.130,1245.560,1238.346,1240.728,66634,0,0
2018.07.17,00:00:00,1240.730,1244.967,1226.104,1227.161,78692,0,0
2018.07.18,00:00:00,1227.211,1229.124,1221.095,1227.376,75007,0,0
2018.07.19,00:00:00,1227.374,1228.999,1211.512,1223.468,86761,0,0
2018.07.20,00:00:00,1223.483,1232.249,1215.718,1231.634,86071,0,0
2018.07.22,00:00:00,1231.881,1233.310,1231.556,1232.890,2809,0,0
2018.07.23,00:00:00,1232.884,1235.078,1222.261,1224.255,78839,0,0
2018.07.24,00:00:00,1224.253,1229.456,1218.103,1225.161,79294,0,0
2018.07.25,00:00:00,1225.190,1234.147,1223.258,1233.083,82939,0,0
2018.07.26,00:00:00,1233.100,1235.173,1222.357,1224.121,81644,0,0
2018.07.27,00:00:00,1224.105,1227.296,1217.579,1222.744,71357,0,0
2018.07.29,00:00:00,1223.136,1223.623,1222.057,1222.482,1388,0,0
2018.07.30,00:00:00,1222.498,1225.062,1219.043,1222.522,62861,0,0
2018.07.31,00:00:00,1222.546,1228.492,1214.048,1223.940,77637,0,0
2018.08.01,00:00:00,1223.944,1224.724,1215.824,1217.811,74459,0,0
2018.08.02,00:00:00,1217.833,1221.073,1207.102,1208.394,77055,0,0
2018.08.03,00:00:00,1208.394,1219.988,1204.501,1213.363,70634,0,0
2018.08.05,00:00:00,1213.739,1215.094,1213.570,1214.837,1569,0,0
2018.08.06,00:00:00,1214.836,1217.859,1206.341,1208.729,70362,0,0
2018.08.07,00:00:00,1208.732,1216.137,1207.814,1212.432,67369,0,0
2018.08.08,00:00:00,1212.435,1215.794,1206.297,1213.297,69207,0,0
2018.08.09,00:00:00,1213.302,1217.285,1210.789,1212.131,70511,0,0
