trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2025-01-02 03:55:00,ENTRY,2633.668,,2627.668,2639.668,0.5,,ENTRY_SIGNAL
2,2025-01-02 07:50:00,ENTRY,2634.648,,2628.648,2640.648,0.5,,ENTRY_SIGNAL
1,2025-01-02 09:00:00,EXIT,2633.668,2639.668,2627.668,2639.668,0.5,30.0,TP_HIT
3,2025-01-02 10:10:00,ENTRY,2638.932,,2632.932,2644.932,0.5,,ENTRY_SIGNAL
2,2025-01-02 10:15:00,EXIT,2634.648,2640.648,2628.648,2640.648,0.5,30.0,TP_HIT
3,2025-01-02 10:20:00,EXIT,2638.932,2644.932,2632.932,2644.932,0.5,30.0,TP_HIT
4,2025-01-02 13:45:00,ENTRY,2642.56,,2636.56,2648.56,0.5,,ENTRY_SIGNAL
4,2025-01-02 14:15:00,EXIT,2642.56,2648.56,2636.56,2648.56,0.5,30.0,TP_HIT
5,2025-01-03 01:20:00,ENTRY,2658.931,,2664.931,2652.931,0.5,,ENTRY_SIGNAL
6,2025-01-03 01:55:00,ENTRY,2659.438,,2653.438,2665.438,0.5,,ENTRY_SIGNAL
5,2025-01-03 03:20:00,EXIT,2658.931,2664.931,2664.931,2652.931,0.5,-30.0,SL_HIT
7,2025-01-03 05:00:00,ENTRY,2662.054,,2668.054,2656.054,0.5,,ENTRY_SIGNAL
7,2025-01-03 05:50:00,EXIT,2662.054,2656.054,2668.054,2656.054,0.5,30.0,TP_HIT
6,2025-01-03 07:20:00,EXIT,2659.438,2653.438,2653.438,2665.438,0.5,-30.0,SL_HIT
8,2025-01-03 09:05:00,ENTRY,2653.768,,2659.768,2647.768,0.5,,ENTRY_SIGNAL
8,2025-01-03 13:35:00,EXIT,2653.768,2647.768,2659.768,2647.768,0.5,30.0,TP_HIT
9,2025-01-03 18:40:00,ENTRY,2641.486,,2647.486,2635.486,0.5,,ENTRY_SIGNAL
9,2025-01-06 04:20:00,EXIT,2641.486,2635.486,2647.486,2635.486,0.5,30.0,TP_HIT
10,2025-01-06 09:45:00,ENTRY,2631.85,,2637.85,2625.85,0.5,,ENTRY_SIGNAL
10,2025-01-06 11:15:00,EXIT,2631.85,2637.85,2637.85,2625.85,0.5,-30.0,SL_HIT
11,2025-01-07 00:45:00,ENTRY,2634.589,,2628.589,2640.589,0.5,,ENTRY_SIGNAL
11,2025-01-07 01:50:00,EXIT,2634.589,2640.589,2628.589,2640.589,0.5,30.0,TP_HIT
12,2025-01-07 04:50:00,ENTRY,2639.084,,2633.084,2645.084,0.5,,ENTRY_SIGNAL
12,2025-01-07 05:35:00,EXIT,2639.084,2645.084,2633.084,2645.084,0.5,30.0,TP_HIT
13,2025-01-07 06:35:00,ENTRY,2643.29,,2649.29,2637.29,0.5,,ENTRY_SIGNAL
13,2025-01-07 12:05:00,EXIT,2643.29,2649.29,2649.29,2637.29,0.5,-30.0,SL_HIT
14,2025-01-08 01:00:00,ENTRY,2648.951,,2654.951,2642.951,0.5,,ENTRY_SIGNAL
14,2025-01-08 09:10:00,EXIT,2648.951,2654.951,2654.951,2642.951,0.5,-30.0,SL_HIT
15,2025-01-08 09:45:00,ENTRY,2652.687,,2658.687,2646.687,0.5,,ENTRY_SIGNAL
15,2025-01-08 12:20:00,EXIT,2652.687,2646.687,2658.687,2646.687,0.5,30.0,TP_HIT
16,2025-01-08 19:05:00,ENTRY,2658.047,,2652.047,2664.047,0.5,,ENTRY_SIGNAL
16,2025-01-08 20:55:00,EXIT,2658.047,2664.047,2652.047,2664.047,0.5,30.0,TP_HIT
17,2025-01-09 00:00:00,ENTRY,2661.884,,2667.884,2655.884,0.5,,ENTRY_SIGNAL
17,2025-01-09 04:35:00,EXIT,2661.884,2655.884,2667.884,2655.884,0.5,30.0,TP_HIT
18,2025-01-09 15:45:00,ENTRY,2671.829,,2677.829,2665.829,0.5,,ENTRY_SIGNAL
18,2025-01-09 17:00:00,EXIT,2671.829,2665.829,2677.829,2665.829,0.5,30.0,TP_HIT
19,2025-01-10 12:00:00,ENTRY,2679.016,,2685.016,2673.016,0.5,,ENTRY_SIGNAL
19,2025-01-10 13:30:00,EXIT,2679.016,2673.016,2685.016,2673.016,0.5,30.0,TP_HIT
20,2025-01-13 03:45:00,ENTRY,2687.382,,2681.382,2693.382,0.5,,ENTRY_SIGNAL
21,2025-01-13 09:40:00,ENTRY,2685.486,,2691.486,2679.486,0.5,,ENTRY_SIGNAL
20,2025-01-13 10:00:00,EXIT,2687.382,2681.382,2681.382,2693.382,0.5,-30.0,SL_HIT
21,2025-01-13 10:00:00,EXIT,2685.486,2679.486,2691.486,2679.486,0.5,30.0,TP_HIT
22,2025-01-13 14:45:00,ENTRY,2671.812,,2665.812,2677.812,0.5,,ENTRY_SIGNAL
22,2025-01-13 15:20:00,EXIT,2671.812,2665.812,2665.812,2677.812,0.5,-30.0,SL_HIT
23,2025-01-14 02:20:00,ENTRY,2669.669,,2663.669,2675.669,0.5,,ENTRY_SIGNAL
24,2025-01-14 06:50:00,ENTRY,2668.672,,2674.672,2662.672,0.5,,ENTRY_SIGNAL
23,2025-01-14 13:35:00,EXIT,2669.669,2663.669,2663.669,2675.669,0.5,-30.0,SL_HIT
24,2025-01-14 13:35:00,EXIT,2668.672,2662.672,2674.672,2662.672,0.5,30.0,TP_HIT
25,2025-01-15 11:40:00,ENTRY,2687.285,,2681.285,2693.285,0.5,,ENTRY_SIGNAL
25,2025-01-15 13:30:00,EXIT,2687.285,2693.285,2681.285,2693.285,0.5,30.0,TP_HIT
26,2025-01-15 13:30:00,ENTRY,2687.742,,2681.742,2693.742,0.5,,ENTRY_SIGNAL
26,2025-01-15 13:55:00,EXIT,2687.742,2693.742,2681.742,2693.742,0.5,30.0,TP_HIT
27,2025-01-15 14:30:00,ENTRY,2682.387,,2688.387,2676.387,0.5,,ENTRY_SIGNAL
28,2025-01-15 16:10:00,ENTRY,2681.887,,2675.887,2687.887,0.5,,ENTRY_SIGNAL
27,2025-01-15 16:45:00,EXIT,2682.387,2688.387,2688.387,2676.387,0.5,-30.0,SL_HIT
28,2025-01-15 16:45:00,EXIT,2681.887,2687.887,2675.887,2687.887,0.5,30.0,TP_HIT
29,2025-01-16 01:00:00,ENTRY,2698.059,,2692.059,2704.059,0.5,,ENTRY_SIGNAL
29,2025-01-16 06:10:00,EXIT,2698.059,2692.059,2692.059,2704.059,0.5,-30.0,SL_HIT
30,2025-01-16 11:55:00,ENTRY,2706.436,,2712.436,2700.436,0.5,,ENTRY_SIGNAL
30,2025-01-16 12:45:00,EXIT,2706.436,2700.436,2712.436,2700.436,0.5,30.0,TP_HIT
31,2025-01-16 23:50:00,ENTRY,2714.132,,2720.132,2708.132,0.5,,ENTRY_SIGNAL
32,2025-01-17 01:45:00,ENTRY,2713.368,,2707.368,2719.368,0.5,,ENTRY_SIGNAL
31,2025-01-17 09:20:00,EXIT,2714.132,2708.132,2720.132,2708.132,0.5,30.0,TP_HIT
32,2025-01-17 09:25:00,EXIT,2713.368,2707.368,2707.368,2719.368,0.5,-30.0,SL_HIT
33,2025-01-20 01:50:00,ENTRY,2693.439,,2687.439,2699.439,0.5,,ENTRY_SIGNAL
33,2025-01-20 03:05:00,EXIT,2693.439,2699.439,2687.439,2699.439,0.5,30.0,TP_HIT
34,2025-01-20 05:45:00,ENTRY,2703.944,,2709.944,2697.944,0.5,,ENTRY_SIGNAL
34,2025-01-20 06:40:00,EXIT,2703.944,2709.944,2709.944,2697.944,0.5,-30.0,SL_HIT
35,2025-01-20 14:00:00,ENTRY,2708.086,,2702.086,2714.086,0.5,,ENTRY_SIGNAL
36,2025-01-20 17:25:00,ENTRY,2707.414,,2701.414,2713.414,0.5,,ENTRY_SIGNAL
36,2025-01-21 01:25:00,EXIT,2707.414,2713.414,2701.414,2713.414,0.5,30.0,TP_HIT
35,2025-01-21 01:40:00,EXIT,2708.086,2714.086,2702.086,2714.086,0.5,30.0,TP_HIT
37,2025-01-21 06:45:00,ENTRY,2727.052,,2721.052,2733.052,0.5,,ENTRY_SIGNAL
38,2025-01-21 07:20:00,ENTRY,2726.367,,2720.367,2732.367,0.5,,ENTRY_SIGNAL
38,2025-01-21 07:40:00,EXIT,2726.367,2732.367,2720.367,2732.367,0.5,30.0,TP_HIT
39,2025-01-21 08:00:00,ENTRY,2727.021,,2733.021,2721.021,0.5,,ENTRY_SIGNAL
37,2025-01-21 09:00:00,EXIT,2727.052,2721.052,2721.052,2733.052,0.5,-30.0,SL_HIT
39,2025-01-21 09:00:00,EXIT,2727.021,2721.021,2733.021,2721.021,0.5,30.0,TP_HIT
40,2025-01-21 18:05:00,ENTRY,2742.967,,2736.967,2748.967,0.5,,ENTRY_SIGNAL
40,2025-01-22 00:55:00,EXIT,2742.967,2748.967,2736.967,2748.967,0.5,30.0,TP_HIT
41,2025-01-22 02:40:00,ENTRY,2747.186,,2753.186,2741.186,0.5,,ENTRY_SIGNAL
41,2025-01-22 05:25:00,EXIT,2747.186,2753.186,2753.186,2741.186,0.5,-30.0,SL_HIT
42,2025-01-22 07:05:00,ENTRY,2749.898,,2743.898,2755.898,0.5,,ENTRY_SIGNAL
42,2025-01-22 09:05:00,EXIT,2749.898,2755.898,2743.898,2755.898,0.5,30.0,TP_HIT
43,2025-01-22 17:00:00,ENTRY,2757.466,,2763.466,2751.466,0.5,,ENTRY_SIGNAL
44,2025-01-22 21:15:00,ENTRY,2755.648,,2761.648,2749.648,0.5,,ENTRY_SIGNAL
43,2025-01-23 01:45:00,EXIT,2757.466,2751.466,2763.466,2751.466,0.5,30.0,TP_HIT
