trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2025-08-01 02:02:00,ENTRY,3288.442,,3282.442,3294.442,0.5,,ENTRY_SIGNAL
1,2025-08-01 03:10:00,EXIT,3288.442,3294.442,3282.442,3294.442,0.5,30.0,TP_HIT
2,2025-08-01 03:54:00,ENTRY,3291.781,,3297.781,3285.781,0.5,,ENTRY_SIGNAL
3,2025-08-01 04:04:00,ENTRY,3292.484,,3298.484,3286.484,0.5,,ENTRY_SIGNAL
2,2025-08-01 05:51:00,EXIT,3291.781,3297.781,3297.781,3285.781,0.5,-30.0,SL_HIT
3,2025-08-01 05:52:00,EXIT,3292.484,3298.484,3298.484,3286.484,0.5,-30.0,SL_HIT
4,2025-08-01 06:50:00,ENTRY,3291.92,,3285.92,3297.92,0.5,,ENTRY_SIGNAL
5,2025-08-01 07:00:00,ENTRY,3291.527,,3297.527,3285.527,0.5,,ENTRY_SIGNAL
4,2025-08-01 07:40:00,EXIT,3291.92,3285.92,3285.92,3297.92,0.5,-30.0,SL_HIT
5,2025-08-01 07:51:00,EXIT,3291.527,3285.527,3297.527,3285.527,0.5,30.0,TP_HIT
6,2025-08-01 07:53:00,ENTRY,3286.122,,3292.122,3280.122,0.5,,ENTRY_SIGNAL
6,2025-08-01 08:51:00,EXIT,3286.122,3292.122,3292.122,3280.122,0.5,-30.0,SL_HIT
7,2025-08-01 13:09:00,ENTRY,3345.924,,3339.924,3351.924,0.5,,ENTRY_SIGNAL
7,2025-08-01 13:16:00,EXIT,3345.924,3351.924,3339.924,3351.924,0.5,30.0,TP_HIT
8,2025-08-01 14:00:00,ENTRY,3350.499,,3344.499,3356.499,0.5,,ENTRY_SIGNAL
9,2025-08-01 14:02:00,ENTRY,3346.088,,3352.088,3340.088,0.5,,ENTRY_SIGNAL
8,2025-08-01 14:04:00,EXIT,3350.499,3344.499,3344.499,3356.499,0.5,-30.0,SL_HIT
9,2025-08-01 14:17:00,EXIT,3346.088,3352.088,3352.088,3340.088,0.5,-30.0,SL_HIT
10,2025-08-01 14:51:00,ENTRY,3341.837,,3347.837,3335.837,0.5,,ENTRY_SIGNAL
10,2025-08-01 15:08:00,EXIT,3341.837,3347.837,3347.837,3335.837,0.5,-30.0,SL_HIT
11,2025-08-01 15:08:00,ENTRY,3347.587,,3341.587,3353.587,0.5,,ENTRY_SIGNAL
11,2025-08-01 16:21:00,EXIT,3347.587,3341.587,3341.587,3353.587,0.5,-30.0,SL_HIT
12,2025-08-01 16:52:00,ENTRY,3343.336,,3337.336,3349.336,0.5,,ENTRY_SIGNAL
12,2025-08-01 17:06:00,EXIT,3343.336,3349.336,3337.336,3349.336,0.5,30.0,TP_HIT
13,2025-08-01 18:53:00,ENTRY,3348.604,,3354.604,3342.604,0.5,,ENTRY_SIGNAL
13,2025-08-01 19:31:00,EXIT,3348.604,3354.604,3354.604,3342.604,0.5,-30.0,SL_HIT
14,2025-08-01 20:05:00,ENTRY,3360.058,,3354.058,3366.058,0.5,,ENTRY_SIGNAL
14,2025-08-04 00:34:00,EXIT,3360.058,3354.058,3354.058,3366.058,0.5,-30.0,SL_HIT
15,2025-08-04 01:01:00,ENTRY,3352.62,,3346.62,3358.62,0.5,,ENTRY_SIGNAL
15,2025-08-04 01:24:00,EXIT,3352.62,3346.62,3346.62,3358.62,0.5,-30.0,SL_HIT
16,2025-08-04 04:53:00,ENTRY,3360.063,,3366.063,3354.063,0.5,,ENTRY_SIGNAL
17,2025-08-04 06:02:00,ENTRY,3355.739,,3361.739,3349.739,0.5,,ENTRY_SIGNAL
16,2025-08-04 06:28:00,EXIT,3360.063,3354.063,3366.063,3354.063,0.5,30.0,TP_HIT
17,2025-08-04 06:52:00,EXIT,3355.739,3361.739,3361.739,3349.739,0.5,-30.0,SL_HIT
18,2025-08-04 08:07:00,ENTRY,3356.048,,3350.048,3362.048,0.5,,ENTRY_SIGNAL
19,2025-08-04 09:51:00,ENTRY,3359.397,,3353.397,3365.397,0.5,,ENTRY_SIGNAL
19,2025-08-04 10:24:00,EXIT,3359.397,3353.397,3353.397,3365.397,0.5,-30.0,SL_HIT
20,2025-08-04 11:01:00,ENTRY,3358.541,,3352.541,3364.541,0.5,,ENTRY_SIGNAL
18,2025-08-04 11:06:00,EXIT,3356.048,3362.048,3350.048,3362.048,0.5,30.0,TP_HIT
20,2025-08-04 11:14:00,EXIT,3358.541,3364.541,3352.541,3364.541,0.5,30.0,TP_HIT
21,2025-08-04 15:08:00,ENTRY,3371.884,,3377.884,3365.884,0.5,,ENTRY_SIGNAL
22,2025-08-04 16:00:00,ENTRY,3375.715,,3369.715,3381.715,0.5,,ENTRY_SIGNAL
21,2025-08-04 16:13:00,EXIT,3371.884,3377.884,3377.884,3365.884,0.5,-30.0,SL_HIT
23,2025-08-04 19:03:00,ENTRY,3376.568,,3370.568,3382.568,0.5,,ENTRY_SIGNAL
22,2025-08-05 01:08:00,EXIT,3375.715,3381.715,3369.715,3381.715,0.5,30.0,TP_HIT
24,2025-08-05 02:56:00,ENTRY,3374.788,,3380.788,3368.788,0.5,,ENTRY_SIGNAL
23,2025-08-05 05:02:00,EXIT,3376.568,3370.568,3370.568,3382.568,0.5,-30.0,SL_HIT
24,2025-08-05 05:14:00,EXIT,3374.788,3368.788,3380.788,3368.788,0.5,30.0,TP_HIT
25,2025-08-05 08:07:00,ENTRY,3371.305,,3377.305,3365.305,0.5,,ENTRY_SIGNAL
25,2025-08-05 09:00:00,EXIT,3371.305,3365.305,3377.305,3365.305,0.5,30.0,TP_HIT
26,2025-08-05 11:56:00,ENTRY,3351.744,,3357.744,3345.744,0.5,,ENTRY_SIGNAL
26,2025-08-05 12:24:00,EXIT,3351.744,3357.744,3357.744,3345.744,0.5,-30.0,SL_HIT
27,2025-08-05 14:00:00,ENTRY,3378.186,,3372.186,3384.186,0.5,,ENTRY_SIGNAL
27,2025-08-05 14:10:00,EXIT,3378.186,3372.186,3372.186,3384.186,0.5,-30.0,SL_HIT
28,2025-08-05 16:01:00,ENTRY,3390.145,,3384.145,3396.145,0.5,,ENTRY_SIGNAL
28,2025-08-05 16:16:00,EXIT,3390.145,3384.145,3384.145,3396.145,0.5,-30.0,SL_HIT
29,2025-08-05 17:01:00,ENTRY,3381.234,,3387.234,3375.234,0.5,,ENTRY_SIGNAL
30,2025-08-05 18:54:00,ENTRY,3380.052,,3374.052,3386.052,0.5,,ENTRY_SIGNAL
29,2025-08-06 01:54:00,EXIT,3381.234,3375.234,3387.234,3375.234,0.5,30.0,TP_HIT
30,2025-08-06 01:56:00,EXIT,3380.052,3374.052,3374.052,3386.052,0.5,-30.0,SL_HIT
31,2025-08-06 03:07:00,ENTRY,3377.048,,3383.048,3371.048,0.5,,ENTRY_SIGNAL
31,2025-08-06 05:23:00,EXIT,3377.048,3371.048,3383.048,3371.048,0.5,30.0,TP_HIT
32,2025-08-06 08:56:00,ENTRY,3366.479,,3360.479,3372.479,0.5,,ENTRY_SIGNAL
32,2025-08-06 09:50:00,EXIT,3366.479,3360.479,3360.479,3372.479,0.5,-30.0,SL_HIT
33,2025-08-06 13:51:00,ENTRY,3371.159,,3365.159,3377.159,0.5,,ENTRY_SIGNAL
33,2025-08-06 14:30:00,EXIT,3371.159,3377.159,3365.159,3377.159,0.5,30.0,TP_HIT
34,2025-08-06 15:50:00,ENTRY,3377.509,,3371.509,3383.509,0.5,,ENTRY_SIGNAL
35,2025-08-06 16:10:00,ENTRY,3378.057,,3384.057,3372.057,0.5,,ENTRY_SIGNAL
34,2025-08-06 17:23:00,EXIT,3377.509,3371.509,3371.509,3383.509,0.5,-30.0,SL_HIT
35,2025-08-06 17:23:00,EXIT,3378.057,3372.057,3384.057,3372.057,0.5,30.0,TP_HIT
36,2025-08-06 19:00:00,ENTRY,3370.751,,3376.751,3364.751,0.5,,ENTRY_SIGNAL
37,2025-08-06 20:05:00,ENTRY,3370.739,,3376.739,3364.739,0.5,,ENTRY_SIGNAL
36,2025-08-07 01:15:00,EXIT,3370.751,3376.751,3376.751,3364.751,0.5,-30.0,SL_HIT
37,2025-08-07 01:15:00,EXIT,3370.739,3376.739,3376.739,3364.739,0.5,-30.0,SL_HIT
38,2025-08-07 02:04:00,ENTRY,3380.981,,3386.981,3374.981,0.5,,ENTRY_SIGNAL
39,2025-08-07 04:00:00,ENTRY,3378.812,,3384.812,3372.812,0.5,,ENTRY_SIGNAL
38,2025-08-07 05:34:00,EXIT,3380.981,3374.981,3386.981,3374.981,0.5,30.0,TP_HIT
39,2025-08-07 05:41:00,EXIT,3378.812,3372.812,3384.812,3372.812,0.5,30.0,TP_HIT
40,2025-08-07 08:02:00,ENTRY,3392.54,,3398.54,3386.54,0.5,,ENTRY_SIGNAL
40,2025-08-07 08:06:00,EXIT,3392.54,3386.54,3398.54,3386.54,0.5,30.0,TP_HIT
41,2025-08-07 12:09:00,ENTRY,3376.462,,3382.462,3370.462,0.5,,ENTRY_SIGNAL
41,2025-08-07 12:30:00,EXIT,3376.462,3382.462,3382.462,3370.462,0.5,-30.0,SL_HIT
42,2025-08-07 12:57:00,ENTRY,3381.813,,3375.813,3387.813,0.5,,ENTRY_SIGNAL
42,2025-08-07 13:31:00,EXIT,3381.813,3387.813,3375.813,3387.813,0.5,30.0,TP_HIT
43,2025-08-07 15:02:00,ENTRY,3388.367,,3382.367,3394.367,0.5,,ENTRY_SIGNAL
44,2025-08-07 18:01:00,ENTRY,3392.674,,3398.674,3386.674,0.5,,ENTRY_SIGNAL
43,2025-08-07 19:31:00,EXIT,3388.367,3394.367,3382.367,3394.367,0.5,30.0,TP_HIT
44,2025-08-07 19:38:00,EXIT,3392.674,3398.674,3398.674,3386.674,0.5,-30.0,SL_HIT
45,2025-08-07 19:56:00,ENTRY,3399.479,,3405.479,3393.479,0.5,,ENTRY_SIGNAL
46,2025-08-07 20:04:00,ENTRY,3399.29,,3405.29,3393.29,0.5,,ENTRY_SIGNAL
45,2025-08-07 20:53:00,EXIT,3399.479,3393.479,3405.479,3393.479,0.5,30.0,TP_HIT
46,2025-08-07 20:53:00,EXIT,3399.29,3393.29,3405.29,3393.29,0.5,30.0,TP_HIT
47,2025-08-07 22:10:00,ENTRY,3396.987,,3402.987,3390.987,0.5,,ENTRY_SIGNAL
47,2025-08-07 22:16:00,EXIT,3396.987,3390.987,3402.987,3390.987,0.5,30.0,TP_HIT
48,2025-08-07 23:03:00,ENTRY,3401.59,,3407.59,3395.59,0.5,,ENTRY_SIGNAL
49,2025-08-08 00:00:00,ENTRY,3401.675,,3395.675,3407.675,0.5,,ENTRY_SIGNAL
48,2025-08-08 00:18:00,EXIT,3401.59,3395.59,3407.59,3395.59,0.5,30.0,TP_HIT
49,2025-08-08 00:18:00,EXIT,3401.675,3395.675,3395.675,3407.675,0.5,-30.0,SL_HIT
50,2025-08-08 03:05:00,ENTRY,3386.862,,3392.862,3380.862,0.5,,ENTRY_SIGNAL
50,2025-08-08 03:33:00,EXIT,3386.862,3392.862,3392.862,3380.862,0.5,-30.0,SL_HIT
51,2025-08-08 04:57:00,ENTRY,3395.424,,3401.424,3389.424,0.5,,ENTRY_SIGNAL
52,2025-08-08 05:50:00,ENTRY,3393.979,,3387.979,3399.979,0.5,,ENTRY_SIGNAL
51,2025-08-08 06:43:00,EXIT,3395.424,3389.424,3401.424,3389.424,0.5,30.0,TP_HIT
53,2025-08-08 07:00:00,ENTRY,3394.833,,3388.833,3400.833,0.5,,ENTRY_SIGNAL
52,2025-08-08 07:06:00,EXIT,3393.979,3399.979,3387.979,3399.979,0.5,30.0,TP_HIT
53,2025-08-08 07:45:00,EXIT,3394.833,3400.833,3388.833,3400.833,0.5,30.0,TP_HIT
54,2025-08-08 09:58:00,ENTRY,3400.486,,3406.486,3394.486,0.5,,ENTRY_SIGNAL
