<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.03	00:00:00	1.16413	1.16725	1.16202	1.16589	53715	0	50
2018.07.04	00:00:00	1.16586	1.16810	1.16304	1.16599	42922	0	50
2018.07.05	00:00:00	1.16601	1.17196	1.16493	1.16917	57047	0	50
2018.07.06	00:00:00	1.16916	1.17672	1.16796	1.17438	49513	0	50
2018.07.08	00:00:00	1.17387	1.17534	1.17387	1.17516	2777	0	50
2018.07.09	00:00:00	1.17514	1.17903	1.17324	1.17558	49310	0	50
2018.07.10	00:00:00	1.17557	1.17620	1.16902	1.17280	51654	0	50
2018.07.11	00:00:00	1.17279	1.17578	1.16653	1.16747	61092	0	50
2018.07.12	00:00:00	1.16748	1.16952	1.16495	1.16635	52433	0	50
2018.07.13	00:00:00	1.16636	1.16863	1.16128	1.16839	47663	0	50
2018.07.15	00:00:00	1.16885	1.16907	1.16763	1.16780	2434	0	50
2018.07.16	00:00:00	1.16781	1.17250	1.16753	1.17090	46434	0	50
2018.07.17	00:00:00	1.17088	1.17443	1.16471	1.16527	53421	0	50
2018.07.18	00:00:00	1.16531	1.16642	1.16018	1.16446	51801	0	50
2018.07.19	00:00:00	1.16446	1.16782	1.15743	1.16534	61627	0	50
2018.07.20	00:00:00	1.16533	1.17383	1.16257	1.17186	60345	0	50
2018.07.22	00:00:00	1.17246	1.17445	1.17224	1.17403	3517	0	50
2018.07.23	00:00:00	1.17401	1.17495	1.16833	1.16933	51178	0	50
2018.07.24	00:00:00	1.16931	1.17166	1.16543	1.16842	52953	0	50
2018.07.25	00:00:00	1.16845	1.17381	1.16641	1.17375	55721	0	50
2018.07.26	00:00:00	1.17376	1.17431	1.16363	1.16433	53949	0	50
2018.07.27	00:00:00	1.16434	1.16639	1.16203	1.16545	45950	0	50
2018.07.29	00:00:00	1.16547	1.16599	1.16529	1.16590	2539	0	50
2018.07.30	00:00:00	1.16589	1.17183	1.16476	1.17069	41153	0	50
2018.07.31	00:00:00	1.17070	1.17454	1.16821	1.16887	51348	0	50
2018.08.01	00:00:00	1.16886	1.16991	1.16569	1.16628	48049	0	50
2018.08.02	00:00:00	1.16629	1.16672	1.15803	1.15847	50163	0	50
2018.08.03	00:00:00	1.15846	1.16101	1.15600	1.15665	47515	0	50
2018.08.05	00:00:00	1.15687	1.15697	1.15591	1.15611	2983	0	50
2018.08.06	00:00:00	1.15610	1.15699	1.15298	1.15577	43875	0	50
2018.08.07	00:00:00	1.15576	1.16079	1.15512	1.16027	43246	0	50
2018.08.08	00:00:00	1.16027	1.16274	1.15729	1.16088	43440	0	50
2018.08.09	00:00:00	1.16089	1.16188	1.15156	1.15238	49345	0	50
2018.08.10	00:00:00	1.15237	1.15361	1.13878	1.14094	66724	0	50
2018.08.12	00:00:00	1.13958	1.14076	1.13703	1.13943	3422	0	50
2018.08.13	00:00:00	1.13943	1.14324	1.13646	1.14002	64980	0	50
2018.08.14	00:00:00	1.14001	1.14291	1.13299	1.13464	57930	0	50
2018.08.15	00:00:00	1.13463	1.13544	1.13007	1.13415	58516	0	50
2018.08.16	00:00:00	1.13413	1.14087	1.13356	1.13715	60196	0	50
2018.08.17	00:00:00	1.13715	1.14444	1.13660	1.14375	50069	0	50
2018.08.19	00:00:00	1.14396	1.14396	1.14344	1.14375	2863	0	50
2018.08.20	00:00:00	1.14374	1.14918	1.13941	1.14915	49120	0	50
2018.08.21	00:00:00	1.14914	1.16006	1.14850	1.15755	60150	0	50
2018.08.22	00:00:00	1.15756	1.16225	1.15531	1.15856	54426	0	50
2018.08.23	00:00:00	1.15854	1.15903	1.15297	1.15416	54892	0	50
2018.08.24	00:00:00	1.15415	1.16393	1.15379	1.16205	51418	0	50
2018.08.26	00:00:00	1.16171	1.16471	1.16166	1.16448	3280	0	50
2018.08.27	00:00:00	1.16447	1.16930	1.15940	1.16837	49031	0	50
2018.08.28	00:00:00	1.16838	1.17330	1.16623	1.16931	54260	0	50
2018.08.29	00:00:00	1.16931	1.17096	1.16517	1.17092	55953	0	50
2018.08.30	00:00:00	1.17091	1.17178	1.16414	1.16652	57445	0	50
2018.08.31	00:00:00	1.16651	1.16896	1.15843	1.16007	57835	0	50
2018.09.02	00:00:00	1.15974	1.16015	1.15920	1.15981	3136	0	50
2018.09.03	00:00:00	1.15978	1.16270	1.15885	1.16137	40415	0	50
2018.09.04	00:00:00	1.16136	1.16138	1.15299	1.15868	54837	0	50
2018.09.05	00:00:00	1.15867	1.16391	1.15408	1.16343	58000	0	50
2018.09.06	00:00:00	1.16342	1.16582	1.16051	1.16194	56718	0	50
2018.09.07	00:00:00	1.16196	1.16490	1.15503	1.15531	55717	0	50
2018.09.09	00:00:00	1.15505	1.15606	1.15470	1.15604	2900	0	50
2018.09.10	00:00:00	1.15603	1.16156	1.15255	1.15933	46760	0	50
2018.09.11	00:00:00	1.15932	1.16438	1.15653	1.15955	50478	0	50
2018.09.12	00:00:00	1.15952	1.16491	1.15690	1.16252	51795	0	50
2018.09.13	00:00:00	1.16249	1.17006	1.16088	1.16910	51321	0	50
2018.09.14	00:00:00	1.16909	1.17212	1.16203	1.16217	52953	0	50
2018.09.16	00:00:00	1.16211	1.16297	1.16211	1.16232	2699	0	50
2018.09.17	00:00:00	1.16232	1.16978	1.16178	1.16686	51150	0	50
2018.09.18	00:00:00	1.16684	1.17238	1.16522	1.16774	62195	0	50
2018.09.19	00:00:00	1.16774	1.17145	1.16500	1.16738	60893	0	50
2018.09.20	00:00:00	1.16738	1.17842	1.16717	1.17754	59622	0	50
2018.09.21	00:00:00	1.17753	1.18021	1.17327	1.17477	55612	0	50
2018.09.23	00:00:00	1.17459	1.17492	1.17397	1.17483	2346	0	50
2018.09.24	00:00:00	1.17481	1.18147	1.17239	1.17522	54851	0	50
2018.09.25	00:00:00	1.17522	1.17920	1.17307	1.17626	57425	0	50
2018.09.26	00:00:00	1.17625	1.17972	1.17258	1.17468	60619	0	50
2018.09.27	00:00:00	1.17466	1.17567	1.16334	1.16358	64212	0	50
2018.09.28	00:00:00	1.16357	1.16510	1.15696	1.16039	58309	0	50
2018.09.30	00:00:00	1.16067	1.16162	1.16040	1.16050	1937	0	50
2018.10.01	00:00:00	1.16049	1.16245	1.15631	1.15768	54741	0	50
2018.10.02	00:00:00	1.15768	1.15798	1.15046	1.15501	59405	0	50
2018.10.03	00:00:00	1.15500	1.15924	1.14640	1.14762	66575	0	50
2018.10.04	00:00:00	1.14761	1.15424	1.14627	1.15172	60674	0	50
2018.10.05	00:00:00	1.15171	1.15492	1.14836	1.15196	60084	0	50
2018.10.07	00:00:00	1.15204	1.15263	1.15202	1.15237	1859	0	50
2018.10.08	00:00:00	1.15236	1.15292	1.14597	1.14939	51505	0	50
2018.10.09	00:00:00	1.14938	1.15075	1.14319	1.15045	63015	0	50
2018.10.10	00:00:00	1.15044	1.15448	1.14796	1.15329	62552	0	50
2018.10.11	00:00:00	1.15328	1.15987	1.15308	1.15897	74624	0	50
2018.10.12	00:00:00	1.15895	1.16101	1.15339	1.15593	60978	0	50
2018.10.14	00:00:00	1.15535	1.15535	1.15427	1.15502	2680	0	50
2018.10.15	00:00:00	1.15501	1.16057	1.15427	1.15828	57344	0	50
2018.10.16	00:00:00	1.15825	1.16207	1.15657	1.15761	58172	0	50
2018.10.17	00:00:00	1.15761	1.15801	1.14956	1.15010	63367	0	50
2018.10.18	00:00:00	1.15009	1.15269	1.14492	1.14539	64661	0	50
2018.10.19	00:00:00	1.14538	1.15340	1.14329	1.15135	61833	0	50
2018.10.21	00:00:00	1.15137	1.15164	1.15083	1.15102	2464	0	50
2018.10.22	00:00:00	1.15103	1.15497	1.14556	1.14642	56977	0	50
2018.10.23	00:00:00	1.14643	1.14930	1.14392	1.14705	63322	0	50
2018.10.24	00:00:00	1.14704	1.14760	1.13782	1.13987	65867	0	50
2018.10.25	00:00:00	1.13986	1.14320	1.13558	1.13750	63983	0	50
2018.10.26	00:00:00	1.13750	1.14204	1.13353	1.14030	64947	0	50
2018.10.28	00:00:00	1.13955	1.14030	1.13923	1.13977	2862	0	50
2018.10.29	00:00:00	1.13977	1.14161	1.13603	1.13754	61581	0	50
2018.10.30	00:00:00	1.13753	1.13875	1.13401	1.13451	58005	0	50
2018.10.31	00:00:00	1.13450	1.13598	1.13009	1.13145	60893	0	50
2018.11.01	00:00:00	1.13144	1.14237	1.13124	1.14026	63940	0	50
2018.11.02	00:00:00	1.14026	1.14554	1.13723	1.13875	62427	0	50
2018.11.04	00:00:00	1.13871	1.13991	1.13870	1.13974	2056	0	50
2018.11.05	00:00:00	1.13972	1.14237	1.13530	1.14082	57176	0	50
2018.11.06	00:00:00	1.14083	1.14374	1.13913	1.14364	57530	0	50
2018.11.07	00:00:00	1.14365	1.14993	1.13943	1.14326	75473	0	50
2018.11.08	00:00:00	1.14325	1.14460	1.13516	1.13679	65300	0	50
2018.11.09	00:00:00	1.13678	1.13681	1.13160	1.13351	62438	0	50
2018.11.11	00:00:00	1.13176	1.13260	1.13136	1.13236	3076	0	50
2018.11.12	00:00:00	1.13236	1.13301	1.12143	1.12234	62401	0	50
2018.11.13	00:00:00	1.12232	1.13162	1.12217	1.13119	70097	0	50
2018.11.14	00:00:00	1.13119	1.13462	1.12629	1.13121	74220	0	50
2018.11.15	00:00:00	1.13122	1.13616	1.12702	1.13243	73666	0	50
2018.11.16	00:00:00	1.13244	1.14198	1.13214	1.14174	62832	0	50
2018.11.18	00:00:00	1.14025	1.14196	1.14010	1.14135	2630	0	50
2018.11.19	00:00:00	1.14134	1.14640	1.13938	1.14541	56935	0	50
2018.11.20	00:00:00	1.14540	1.14720	1.13585	1.13717	61761	0	50
2018.11.21	00:00:00	1.13718	1.14242	1.13653	1.13877	61771	0	50
2018.11.22	00:00:00	1.13877	1.14334	1.13851	1.14025	46369	0	50
2018.11.23	00:00:00	1.14024	1.14206	1.13275	1.13345	51284	0	50
2018.11.25	00:00:00	1.13394	1.13412	1.13310	1.13368	2982	0	50
2018.11.26	00:00:00	1.13368	1.13832	1.13247	1.13328	59171	0	50
2018.11.27	00:00:00	1.13328	1.13435	1.12772	1.12971	62223	0	50
2018.11.28	00:00:00	1.12971	1.13869	1.12669	1.13674	65417	0	50
2018.11.29	00:00:00	1.13673	1.14011	1.13485	1.13920	65099	0	50
2018.11.30	00:00:00	1.13921	1.13999	1.13048	1.13181	61020	0	50
2018.12.02	00:00:00	1.13545	1.13586	1.13281	1.13416	2777	0	50
2018.12.03	00:00:00	1.13416	1.13794	1.13192	1.13541	60255	0	50
2018.12.04	00:00:00	1.13542	1.14179	1.13184	1.13424	68815	0	50
2018.12.05	00:00:00	1.13423	1.13609	1.13109	1.13482	51954	0	50
