<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.12.06	00:00:00	1.13485	1.14121	1.13207	1.13749	69795	0	50
2018.12.07	00:00:00	1.13755	1.14231	1.13600	1.13908	62599	0	50
2018.12.09	00:00:00	1.13866	1.14053	1.13866	1.13994	2754	0	50
2018.12.10	00:00:00	1.13995	1.14424	1.13500	1.13557	66429	0	50
2018.12.11	00:00:00	1.13557	1.13997	1.13057	1.13215	63703	0	50
2018.12.12	00:00:00	1.13215	1.13869	1.13149	1.13725	65073	0	50
2018.12.13	00:00:00	1.13725	1.13923	1.13308	1.13626	61455	0	50
2018.12.14	00:00:00	1.13628	1.13646	1.12696	1.13043	57920	0	50
2018.12.16	00:00:00	1.13029	1.13075	1.13004	1.13040	2868	0	50
2018.12.17	00:00:00	1.13042	1.13575	1.13022	1.13492	54950	0	50
2018.12.18	00:00:00	1.13491	1.14019	1.13366	1.13750	61205	0	50
2018.12.19	00:00:00	1.13754	1.14389	1.13635	1.13863	67383	0	50
2018.12.20	00:00:00	1.13864	1.14851	1.13770	1.14565	69527	0	50
2018.12.21	00:00:00	1.14564	1.14735	1.13557	1.13674	62221	0	50
2018.12.23	00:00:00	1.13632	1.13732	1.13606	1.13721	1793	0	50
2018.12.24	00:00:00	1.13720	1.14380	1.13702	1.14092	43259	0	50
2018.12.26	00:00:00	1.14123	1.14156	1.13428	1.13603	42261	0	50
2018.12.27	00:00:00	1.13602	1.14536	1.13580	1.14303	70067	0	50
2018.12.28	00:00:00	1.14303	1.14722	1.14299	1.14419	62185	0	50
2018.12.30	00:00:00	1.14416	1.14419	1.14342	1.14390	2174	0	50
2018.12.31	00:00:00	1.14389	1.14660	1.14214	1.14635	46953	0	50
2019.01.02	00:00:00	1.14609	1.14964	1.13118	1.13123	65151	0	50
2019.01.03	00:00:00	1.13117	1.14105	1.13100	1.13900	72488	0	50
2019.01.04	00:00:00	1.13899	1.14186	1.13455	1.13959	63337	0	50
2019.01.06	00:00:00	1.13945	1.14114	1.13945	1.14101	2521	0	50
2019.01.07	00:00:00	1.14100	1.14822	1.14045	1.14787	55371	0	50
2019.01.08	00:00:00	1.14787	1.14844	1.14216	1.14555	57937	0	50
2019.01.09	00:00:00	1.14566	1.15576	1.14388	1.15534	65916	0	50
2019.01.10	00:00:00	1.15538	1.15695	1.14842	1.15070	63155	0	50
2019.01.11	00:00:00	1.15076	1.15398	1.14578	1.14664	57212	0	50
2019.01.13	00:00:00	1.14552	1.14673	1.14542	1.14597	2299	0	50
2019.01.14	00:00:00	1.14596	1.14815	1.14499	1.14723	53278	0	50
2019.01.15	00:00:00	1.14725	1.14892	1.13816	1.14138	63789	0	50
2019.01.16	00:00:00	1.14139	1.14243	1.13776	1.13984	56597	0	50
2019.01.17	00:00:00	1.13991	1.14057	1.13700	1.13918	56327	0	50
2019.01.18	00:00:00	1.13920	1.14099	1.13529	1.13634	53711	0	50
2019.01.20	00:00:00	1.13609	1.13672	1.13596	1.13650	1486	0	50
2019.01.21	00:00:00	1.13650	1.13908	1.13564	1.13687	40047	0	50
2019.01.22	00:00:00	1.13686	1.13737	1.13359	1.13632	51556	0	50
2019.01.23	00:00:00	1.13632	1.13939	1.13505	1.13853	52827	0	50
2019.01.24	00:00:00	1.13857	1.13909	1.12887	1.13121	65136	0	50
2019.01.25	00:00:00	1.13123	1.14173	1.13048	1.14064	58616	0	50
2019.01.27	00:00:00	1.14036	1.14123	1.14005	1.14123	2223	0	50
2019.01.28	00:00:00	1.14125	1.14434	1.13897	1.14294	49288	0	50
2019.01.29	00:00:00	1.14294	1.14498	1.14109	1.14348	53793	0	50
2019.01.30	00:00:00	1.14347	1.15012	1.14059	1.14851	56514	0	50
2019.01.31	00:00:00	1.14852	1.15138	1.14355	1.14477	57241	0	50
2019.02.01	00:00:00	1.14480	1.14880	1.14344	1.14555	51098	0	50
2019.02.03	00:00:00	1.14512	1.14576	1.14475	1.14545	1875	0	50
2019.02.04	00:00:00	1.14545	1.14599	1.14242	1.14351	47478	0	50
2019.02.05	00:00:00	1.14351	1.14401	1.14006	1.14088	46322	0	50
2019.02.06	00:00:00	1.14088	1.14089	1.13602	1.13657	48170	0	50
2019.02.07	00:00:00	1.13656	1.13675	1.13231	1.13382	48957	0	50
2019.02.08	00:00:00	1.13382	1.13505	1.13208	1.13218	43083	0	50
2019.02.10	00:00:00	1.13220	1.13245	1.13148	1.13238	2714	0	50
2019.02.11	00:00:00	1.13238	1.13298	1.12671	1.12786	45530	0	50
2019.02.12	00:00:00	1.12783	1.13393	1.12575	1.13336	48225	0	50
2019.02.13	00:00:00	1.13337	1.13413	1.12498	1.12644	48592	0	50
2019.02.14	00:00:00	1.12646	1.13092	1.12498	1.12947	52372	0	50
2019.02.15	00:00:00	1.12944	1.13059	1.12338	1.12937	48331	0	50
2019.02.17	00:00:00	1.12960	1.12965	1.12891	1.12951	2265	0	50
2019.02.18	00:00:00	1.12951	1.13337	1.12939	1.13114	37138	0	50
2019.02.19	00:00:00	1.13112	1.13570	1.12752	1.13397	48916	0	50
2019.02.20	00:00:00	1.13396	1.13708	1.13247	1.13458	49345	0	50
2019.02.21	00:00:00	1.13460	1.13660	1.13194	1.13392	52674	0	50
2019.02.22	00:00:00	1.13392	1.13554	1.13159	1.13334	45060	0	50
2019.02.24	00:00:00	1.13410	1.13419	1.13289	1.13415	2128	0	50
2019.02.25	00:00:00	1.13417	1.13673	1.13364	1.13643	45939	0	50
2019.02.26	00:00:00	1.13646	1.14021	1.13448	1.13928	48588	0	50
2019.02.27	00:00:00	1.13929	1.14030	1.13621	1.13794	49806	0	50
2019.02.28	00:00:00	1.13795	1.14192	1.13595	1.13729	52560	0	50
2019.03.01	00:00:00	1.13728	1.14081	1.13530	1.13646	47794	0	50
2019.03.03	00:00:00	1.13816	1.13848	1.13722	1.13749	2126	0	50
2019.03.04	00:00:00	1.13748	1.13748	1.13087	1.13363	45509	0	50
2019.03.05	00:00:00	1.13362	1.13381	1.12893	1.13055	46974	0	50
2019.03.06	00:00:00	1.13057	1.13242	1.12837	1.13128	44396	0	50
2019.03.07	00:00:00	1.13129	1.13198	1.11753	1.11981	50302	0	50
2019.03.08	00:00:00	1.11979	1.12457	1.11849	1.12330	49022	0	50
2019.03.10	00:00:00	1.12301	1.12374	1.12301	1.12316	2192	0	50
2019.03.11	00:00:00	1.12314	1.12681	1.12215	1.12589	43819	0	50
2019.03.12	00:00:00	1.12590	1.13046	1.12489	1.12864	44249	0	50
2019.03.13	00:00:00	1.12863	1.13381	1.12771	1.13302	42205	0	50
2019.03.14	00:00:00	1.13302	1.13357	1.12938	1.13063	45200	0	50
2019.03.15	00:00:00	1.13064	1.13439	1.12998	1.13251	39237	0	50
2019.03.17	00:00:00	1.13206	1.13270	1.13188	1.13192	1835	0	50
2019.03.18	00:00:00	1.13191	1.13585	1.13190	1.13358	39128	0	50
2019.03.19	00:00:00	1.13358	1.13612	1.13334	1.13541	40349	0	50
2019.03.20	00:00:00	1.13542	1.14475	1.13352	1.14283	48605	0	50
2019.03.21	00:00:00	1.14282	1.14372	1.13422	1.13736	50512	0	50
2019.03.22	00:00:00	1.13737	1.13901	1.12727	1.12999	49406	0	50
2019.03.24	00:00:00	1.12932	1.12980	1.12909	1.12956	1719	0	50
2019.03.25	00:00:00	1.12955	1.13308	1.12885	1.13148	47237	0	50
2019.03.26	00:00:00	1.13146	1.13256	1.12625	1.12739	47146	0	50
2019.03.27	00:00:00	1.12738	1.12851	1.12418	1.12518	52084	0	50
2019.03.28	00:00:00	1.12519	1.12611	1.12134	1.12297	50024	0	50
2019.03.29	00:00:00	1.12293	1.12463	1.12096	1.12177	47634	0	50
2019.03.31	00:00:00	1.12262	1.12292	1.12200	1.12231	1544	0	50
2019.04.01	00:00:00	1.12230	1.12494	1.11981	1.12049	46496	0	50
2019.04.02	00:00:00	1.12048	1.12154	1.11834	1.12030	46510	0	50
2019.04.03	00:00:00	1.12031	1.12543	1.12017	1.12446	46605	0	50
2019.04.04	00:00:00	1.12444	1.12476	1.12057	1.12222	42862	0	50
2019.04.05	00:00:00	1.12220	1.12461	1.12097	1.12157	39556	0	50
2019.04.07	00:00:00	1.12148	1.12195	1.12127	1.12181	2081	0	50
2019.04.08	00:00:00	1.12181	1.12740	1.12146	1.12556	41555	0	50
2019.04.09	00:00:00	1.12555	1.12838	1.12552	1.12655	41765	0	50
2019.04.10	00:00:00	1.12654	1.12869	1.12292	1.12757	44611	0	50
2019.04.11	00:00:00	1.12757	1.12870	1.12497	1.12601	42187	0	50
2019.04.12	00:00:00	1.12600	1.13235	1.12570	1.12991	41978	0	50
2019.04.14	00:00:00	1.13020	1.13070	1.12986	1.13027	1757	0	50
2019.04.15	00:00:00	1.13026	1.13205	1.12975	1.13040	37495	0	50
2019.04.16	00:00:00	1.13040	1.13135	1.12786	1.12842	43081	0	50
2019.04.17	00:00:00	1.12843	1.13233	1.12810	1.12962	40408	0	50
2019.04.18	00:00:00	1.12962	1.13036	1.12258	1.12347	44846	0	50
2019.04.19	00:00:00	1.12345	1.12470	1.12316	1.12431	18989	0	50
2019.04.21	00:00:00	1.12419	1.12443	1.12376	1.12436	2226	0	50
2019.04.22	00:00:00	1.12437	1.12616	1.12356	1.12585	15871	0	50
2019.04.23	00:00:00	1.12587	1.12608	1.11920	1.12238	24823	0	50
2019.04.24	00:00:00	1.12239	1.12241	1.11406	1.11533	32631	0	50
2019.04.25	00:00:00	1.11532	1.11623	1.11177	1.11354	28183	0	50
2019.04.26	00:00:00	1.11352	1.11735	1.11114	1.11456	27052	0	50
2019.04.28	00:00:00	1.11446	1.11515	1.11446	1.11489	1828	0	50
2019.04.29	00:00:00	1.11490	1.11866	1.11449	1.11847	20718	0	50
2019.04.30	00:00:00	1.11846	1.12286	1.11756	1.12154	27896	0	50
2019.05.01	00:00:00	1.12154	1.12643	1.11873	1.12022	25838	0	50
2019.05.02	00:00:00	1.12022	1.12187	1.11707	1.11728	28802	0	50
2019.05.03	00:00:00	1.11727	1.12047	1.11352	1.12015	25261	0	50
2019.05.05	00:00:00	1.11756	1.11991	1.11727	1.11846	2656	0	50
2019.05.06	00:00:00	1.11845	1.12088	1.11789	1.12008	25522	0	50
2019.05.07	00:00:00	1.12007	1.12173	1.11662	1.11895	28456	0	50
2019.05.08	00:00:00	1.11894	1.12133	1.11826	1.11979	30811	0	50
2019.05.09	00:00:00	1.11978	1.12506	1.11732	1.12182	32765	0	50
2019.05.10	00:00:00	1.12183	1.12531	1.12177	1.12340	27901	0	50
2019.05.12	00:00:00	1.12336	1.12388	1.12335	1.12357	2311	0	50
2019.05.13	00:00:00	1.12355	1.12630	1.12199	1.12320	26884	0	50
2019.05.14	00:00:00	1.12321	1.12436	1.12011	1.12028	25084	0	50
2019.05.15	00:00:00	1.12029	1.12234	1.11773	1.12071	27186	0	50
2019.05.16	00:00:00	1.12069	1.12236	1.11663	1.11732	24828	0	50
2019.05.17	00:00:00	1.11731	1.11837	1.11548	1.11570	24570	0	50
2019.05.19	00:00:00	1.11579	1.11663	1.11579	1.11646	2073	0	50
2019.05.20	00:00:00	1.11648	1.11745	1.11505	1.11672	23314	0	50
2019.05.21	00:00:00	1.11671	1.11855	1.11415	1.11642	24395	0	50
2019.05.22	00:00:00	1.11642	1.11797	1.11484	1.11552	22662	0	50
2019.05.23	00:00:00	1.11552	1.11871	1.11067	1.11840	27056	0	50
2019.05.24	00:00:00	1.11838	1.12118	1.11771	1.12048	21084	0	50
2019.05.26	00:00:00	1.12079	1.12113	1.12069	1.12069	1608	0	50
2019.05.27	00:00:00	1.12067	1.12149	1.11864	1.11931	17404	0	50
2019.05.28	00:00:00	1.11933	1.11980	1.11592	1.11678	24363	0	50
2019.05.29	00:00:00	1.11676	1.11723	1.11239	1.11366	25317	0	50
2019.05.30	00:00:00	1.11365	1.11429	1.11160	1.11296	22532	0	50
2019.05.31	00:00:00	1.11295	1.11794	1.11247	1.11684	27580	0	50
2019.06.02	00:00:00	1.11636	1.11740	1.11614	1.11734	2155	0	50
2019.06.03	00:00:00	1.11733	1.12616	1.11601	1.12454	29439	0	50
2019.06.04	00:00:00	1.12455	1.12770	1.12264	1.12535	31781	0	50
2019.06.05	00:00:00	1.12536	1.13040	1.12198	1.12284	32899	0	50
2019.06.06	00:00:00	1.12283	1.13081	1.12047	1.12754	31482	0	50
2019.06.07	00:00:00	1.12755	1.13471	1.12511	1.13327	27117	0	50
2019.06.09	00:00:00	1.13228	1.13285	1.13141	1.13188	1757	0	50
2019.06.10	00:00:00	1.13189	1.13239	1.12896	1.13178	23952	0	50
2019.06.11	00:00:00	1.13180	1.13372	1.13014	1.13291	27574	0	50
2019.06.12	00:00:00	1.13292	1.13430	1.12827	1.12924	28202	0	50
2019.06.13	00:00:00	1.12924	1.13035	1.12681	1.12794	25761	0	50
2019.06.14	00:00:00	1.12792	1.12888	1.12019	1.12090	27905	0	50
2019.06.16	00:00:00	1.12094	1.12170	1.12088	1.12154	2007	0	50
2019.06.17	00:00:00	1.12153	1.12464	1.12035	1.12236	22056	0	50
2019.06.18	00:00:00	1.12237	1.12425	1.11812	1.11978	34291	0	50
2019.06.19	00:00:00	1.11979	1.12538	1.11870	1.12356	31992	0	50
2019.06.20	00:00:00	1.12355	1.13167	1.12350	1.12942	36820	0	50
2019.06.21	00:00:00	1.12941	1.13774	1.12829	1.13691	34513	0	50
2019.06.23	00:00:00	1.13691	1.13848	1.13660	1.13848	2534	0	50
2019.06.24	00:00:00	1.13847	1.14031	1.13723	1.13991	29666	0	50
2019.06.25	00:00:00	1.13992	1.14117	1.13442	1.13680	39285	0	50
2019.06.26	00:00:00	1.13678	1.13906	1.13474	1.13731	34457	0	50
2019.06.27	00:00:00	1.13732	1.13811	1.13477	1.13709	28812	0	50
2019.06.28	00:00:00	1.13711	1.13931	1.13506	1.13699	24122	0	50
2019.06.30	00:00:00	1.13594	1.13708	1.13594	1.13599	1440	0	50
2019.07.01	00:00:00	1.13597	1.13637	1.12802	1.12867	27510	0	50
2019.07.02	00:00:00	1.12868	1.13192	1.12746	1.12904	24140	0	50
2019.07.03	00:00:00	1.12903	1.13105	1.12684	1.12871	22761	0	50
2019.07.04	00:00:00	1.12870	1.12948	1.12730	1.12851	11025	0	50
2019.07.05	00:00:00	1.12852	1.12859	1.12072	1.12253	21500	0	50
2019.07.07	00:00:00	1.12224	1.12285	1.12224	1.12265	781	0	50
2019.07.08	00:00:00	1.12267	1.12341	1.12070	1.12149	16590	0	50
2019.07.09	00:00:00	1.12150	1.12185	1.11933	1.12042	17099	0	50
2019.07.10	00:00:00	1.12041	1.12636	1.12016	1.12581	24399	0	50
2019.07.11	00:00:00	1.12582	1.12856	1.12451	1.12494	24840	0	50
2019.07.12	00:00:00	1.12495	1.12746	1.12381	1.12704	20169	0	50
2019.07.14	00:00:00	1.12669	1.12742	1.12636	1.12709	931	0	50
2019.07.15	00:00:00	1.12711	1.12836	1.12536	1.12596	16402	0	50
2019.07.16	00:00:00	1.12597	1.12632	1.12017	1.12118	20187	0	50
2019.07.17	00:00:00	1.12116	1.12333	1.11993	1.12270	17158	0	50
2019.07.18	00:00:00	1.12271	1.12812	1.12051	1.12608	27020	0	50
2019.07.19	00:00:00	1.12607	1.12680	1.12033	1.12203	22690	0	50
2019.07.21	00:00:00	1.12129	1.12186	1.12128	1.12174	909	0	50
2019.07.22	00:00:00	1.12175	1.12248	1.12038	1.12043	17440	0	50
2019.07.23	00:00:00	1.12042	1.12079	1.11457	1.11507	18323	0	50
2019.07.24	00:00:00	1.11508	1.11555	1.11270	1.11418	19541	0	50
2019.07.25	00:00:00	1.11417	1.11875	1.11013	1.11448	28602	0	50
2019.07.26	00:00:00	1.11447	1.11506	1.11119	1.11273	18403	0	50
2019.07.28	00:00:00	1.11231	1.11323	1.11227	1.11294	574	0	50
2019.07.29	00:00:00	1.11292	1.11506	1.11129	1.11421	15617	0	50
2019.07.30	00:00:00	1.11420	1.11606	1.11320	1.11567	19982	0	50
2019.07.31	00:00:00	1.11566	1.11617	1.10600	1.10714	32942	0	50
2019.08.01	00:00:00	1.10715	1.10952	1.10268	1.10788	36460	0	50
2019.08.02	00:00:00	1.10787	1.11161	1.10698	1.11070	34613	0	50
2019.08.04	00:00:00	1.11052	1.11107	1.11043	1.11075	983	0	50
2019.08.05	00:00:00	1.11074	1.12448	1.11064	1.12418	36133	0	50
2019.08.06	00:00:00	1.12416	1.12492	1.11674	1.12051	32766	0	50
2019.08.07	00:00:00	1.12053	1.12414	1.11792	1.12039	38915	0	50
2019.08.08	00:00:00	1.12038	1.12292	1.11770	1.11860	33137	0	50
2019.08.09	00:00:00	1.11861	1.12226	1.11832	1.12001	23612	0	50
2019.08.11	00:00:00	1.11984	1.12078	1.11974	1.12072	799	0	50
2019.08.12	00:00:00	1.12071	1.12302	1.11619	1.12159	23773	0	50
2019.08.13	00:00:00	1.12161	1.12281	1.11696	1.11763	31304	0	50
