trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2025-08-01 04:04:00,ENTRY,3292.484,,3298.484,3286.484,0.5,,ENTRY_SIGNAL
1,2025-08-01 05:52:00,EXIT,3292.484,3298.484,3298.484,3286.484,0.5,-30.0,SL_HIT
2,2025-08-01 06:50:00,ENTRY,3291.92,,3285.92,3297.92,0.5,,ENTRY_SIGNAL
2,2025-08-01 07:40:00,EXIT,3291.92,3285.92,3285.92,3297.92,0.5,-30.0,SL_HIT
3,2025-08-01 07:53:00,ENTRY,3286.122,,3292.122,3280.122,0.5,,ENTRY_SIGNAL
3,2025-08-01 08:51:00,EXIT,3286.122,3292.122,3292.122,3280.122,0.5,-30.0,SL_HIT
4,2025-08-01 14:02:00,ENTRY,3346.088,,3352.088,3340.088,0.5,,ENTRY_SIGNAL
4,2025-08-01 14:17:00,EXIT,3346.088,3352.088,3352.088,3340.088,0.5,-30.0,SL_HIT
5,2025-08-01 14:51:00,ENTRY,3341.837,,3347.837,3335.837,0.5,,ENTRY_SIGNAL
5,2025-08-01 15:08:00,EXIT,3341.837,3347.837,3347.837,3335.837,0.5,-30.0,SL_HIT
6,2025-08-04 04:53:00,ENTRY,3360.063,,3366.063,3354.063,0.5,,ENTRY_SIGNAL
6,2025-08-04 06:28:00,EXIT,3360.063,3354.063,3366.063,3354.063,0.5,30.0,TP_HIT
7,2025-08-04 09:56:00,ENTRY,3358.376,,3364.376,3352.376,0.5,,ENTRY_SIGNAL
8,2025-08-04 11:01:00,ENTRY,3358.541,,3352.541,3364.541,0.5,,ENTRY_SIGNAL
7,2025-08-04 11:13:00,EXIT,3358.376,3364.376,3364.376,3352.376,0.5,-30.0,SL_HIT
8,2025-08-04 11:14:00,EXIT,3358.541,3364.541,3352.541,3364.541,0.5,30.0,TP_HIT
9,2025-08-04 15:08:00,ENTRY,3371.884,,3377.884,3365.884,0.5,,ENTRY_SIGNAL
10,2025-08-04 16:00:00,ENTRY,3375.715,,3369.715,3381.715,0.5,,ENTRY_SIGNAL
9,2025-08-04 16:13:00,EXIT,3371.884,3377.884,3377.884,3365.884,0.5,-30.0,SL_HIT
11,2025-08-04 19:03:00,ENTRY,3376.568,,3370.568,3382.568,0.5,,ENTRY_SIGNAL
10,2025-08-05 01:08:00,EXIT,3375.715,3381.715,3369.715,3381.715,0.5,30.0,TP_HIT
