trade_id,time,type,entry_price,exit_price,sl,tp,lot,pnl,reason
1,2025-08-01 07:00:00,ENTRY,3291.527,,3297.527,3285.527,0.5,,ENTRY_SIGNAL
1,2025-08-01 07:51:00,EXIT,3291.527,3285.527,3297.527,3285.527,0.5,30.0,TP_HIT
2,2025-08-01 14:51:00,ENTRY,3341.837,,3347.837,3335.837,0.5,,ENTRY_SIGNAL
2,2025-08-01 15:08:00,EXIT,3341.837,3347.837,3347.837,3335.837,0.5,-30.0,SL_HIT
3,2025-08-04 01:01:00,ENTRY,3352.62,,3346.62,3358.62,0.5,,ENTRY_SIGNAL
3,2025-08-04 01:24:00,EXIT,3352.62,3346.62,3346.62,3358.62,0.5,-30.0,SL_HIT
4,2025-08-04 08:07:00,ENTRY,3356.048,,3350.048,3362.048,0.5,,ENTRY_SIGNAL
5,2025-08-04 09:51:00,ENTRY,3359.397,,3353.397,3365.397,0.5,,ENTRY_SIGNAL
5,2025-08-04 10:24:00,EXIT,3359.397,3353.397,3353.397,3365.397,0.5,-30.0,SL_HIT
4,2025-08-04 11:06:00,EXIT,3356.048,3362.048,3350.048,3362.048,0.5,30.0,TP_HIT
6,2025-08-05 16:01:00,ENTRY,3390.145,,3384.145,3396.145,0.5,,ENTRY_SIGNAL
6,2025-08-05 16:16:00,EXIT,3390.145,3384.145,3384.145,3396.145,0.5,-30.0,SL_HIT
7,2025-08-05 18:54:00,ENTRY,3380.052,,3374.052,3386.052,0.5,,ENTRY_SIGNAL
8,2025-08-06 00:01:00,ENTRY,3382.364,,3388.364,3376.364,0.5,,ENTRY_SIGNAL
8,2025-08-06 01:20:00,EXIT,3382.364,3376.364,3388.364,3376.364,0.5,30.0,TP_HIT
7,2025-08-06 01:56:00,EXIT,3380.052,3374.052,3374.052,3386.052,0.5,-30.0,SL_HIT
9,2025-08-06 08:56:00,ENTRY,3366.479,,3360.479,3372.479,0.5,,ENTRY_SIGNAL
9,2025-08-06 09:50:00,EXIT,3366.479,3360.479,3360.479,3372.479,0.5,-30.0,SL_HIT
10,2025-08-06 17:09:00,ENTRY,3376.826,,3370.826,3382.826,0.5,,ENTRY_SIGNAL
10,2025-08-06 18:13:00,EXIT,3376.826,3370.826,3370.826,3382.826,0.5,-30.0,SL_HIT
11,2025-08-06 20:05:00,ENTRY,3370.739,,3376.739,3364.739,0.5,,ENTRY_SIGNAL
12,2025-08-06 22:57:00,ENTRY,3372.24,,3366.24,3378.24,0.5,,ENTRY_SIGNAL
12,2025-08-07 00:02:00,EXIT,3372.24,3366.24,3366.24,3378.24,0.5,-30.0,SL_HIT
11,2025-08-07 01:15:00,EXIT,3370.739,3376.739,3376.739,3364.739,0.5,-30.0,SL_HIT
13,2025-08-07 04:55:00,ENTRY,3379.099,,3373.099,3385.099,0.5,,ENTRY_SIGNAL
14,2025-08-07 04:57:00,ENTRY,3377.234,,3383.234,3371.234,0.5,,ENTRY_SIGNAL
13,2025-08-07 05:41:00,EXIT,3379.099,3373.099,3373.099,3385.099,0.5,-30.0,SL_HIT
14,2025-08-07 06:42:00,EXIT,3377.234,3383.234,3383.234,3371.234,0.5,-30.0,SL_HIT
15,2025-08-07 12:57:00,ENTRY,3381.813,,3375.813,3387.813,0.5,,ENTRY_SIGNAL
15,2025-08-07 13:31:00,EXIT,3381.813,3387.813,3375.813,3387.813,0.5,30.0,TP_HIT
16,2025-08-07 18:01:00,ENTRY,3392.674,,3398.674,3386.674,0.5,,ENTRY_SIGNAL
16,2025-08-07 19:38:00,EXIT,3392.674,3398.674,3398.674,3386.674,0.5,-30.0,SL_HIT
17,2025-08-07 19:56:00,ENTRY,3399.479,,3405.479,3393.479,0.5,,ENTRY_SIGNAL
18,2025-08-07 20:04:00,ENTRY,3399.29,,3405.29,3393.29,0.5,,ENTRY_SIGNAL
17,2025-08-07 20:53:00,EXIT,3399.479,3393.479,3405.479,3393.479,0.5,30.0,TP_HIT
18,2025-08-07 20:53:00,EXIT,3399.29,3393.29,3405.29,3393.29,0.5,30.0,TP_HIT
19,2025-08-08 00:01:00,ENTRY,3398.543,,3404.543,3392.543,0.5,,ENTRY_SIGNAL
19,2025-08-08 00:21:00,EXIT,3398.543,3392.543,3404.543,3392.543,0.5,30.0,TP_HIT
20,2025-08-08 05:50:00,ENTRY,3393.979,,3387.979,3399.979,0.5,,ENTRY_SIGNAL
20,2025-08-08 07:06:00,EXIT,3393.979,3399.979,3387.979,3399.979,0.5,30.0,TP_HIT
21,2025-08-08 19:53:00,ENTRY,3398.674,,3392.674,3404.674,0.5,,ENTRY_SIGNAL
21,2025-08-08 20:35:00,EXIT,3398.674,3392.674,3392.674,3404.674,0.5,-30.0,SL_HIT
22,2025-08-10 22:06:00,ENTRY,3396.996,,3402.996,3390.996,0.5,,ENTRY_SIGNAL
22,2025-08-10 22:12:00,EXIT,3396.996,3390.996,3402.996,3390.996,0.5,30.0,TP_HIT
23,2025-08-11 08:09:00,ENTRY,3361.726,,3355.726,3367.726,0.5,,ENTRY_SIGNAL
23,2025-08-11 09:15:00,EXIT,3361.726,3355.726,3355.726,3367.726,0.5,-30.0,SL_HIT
24,2025-08-11 16:02:00,ENTRY,3347.927,,3353.927,3341.927,0.5,,ENTRY_SIGNAL
24,2025-08-11 17:32:00,EXIT,3347.927,3341.927,3353.927,3341.927,0.5,30.0,TP_HIT
25,2025-08-11 18:09:00,ENTRY,3356.2,,3362.2,3350.2,0.5,,ENTRY_SIGNAL
26,2025-08-11 20:10:00,ENTRY,3351.433,,3345.433,3357.433,0.5,,ENTRY_SIGNAL
25,2025-08-11 20:14:00,EXIT,3356.2,3350.2,3362.2,3350.2,0.5,30.0,TP_HIT
26,2025-08-11 20:45:00,EXIT,3351.433,3345.433,3345.433,3357.433,0.5,-30.0,SL_HIT
27,2025-08-12 03:00:00,ENTRY,3353.35,,3347.35,3359.35,0.5,,ENTRY_SIGNAL
27,2025-08-12 06:14:00,EXIT,3353.35,3347.35,3347.35,3359.35,0.5,-30.0,SL_HIT
28,2025-08-12 08:53:00,ENTRY,3346.996,,3340.996,3352.996,0.5,,ENTRY_SIGNAL
29,2025-08-12 10:55:00,ENTRY,3345.02,,3351.02,3339.02,0.5,,ENTRY_SIGNAL
28,2025-08-12 11:20:00,EXIT,3346.996,3340.996,3340.996,3352.996,0.5,-30.0,SL_HIT
29,2025-08-12 11:35:00,EXIT,3345.02,3339.02,3351.02,3339.02,0.5,30.0,TP_HIT
30,2025-08-12 17:05:00,ENTRY,3348.966,,3342.966,3354.966,0.5,,ENTRY_SIGNAL
30,2025-08-13 00:53:00,EXIT,3348.966,3342.966,3342.966,3354.966,0.5,-30.0,SL_HIT
31,2025-08-13 09:53:00,ENTRY,3365.513,,3371.513,3359.513,0.5,,ENTRY_SIGNAL
32,2025-08-13 10:51:00,ENTRY,3366.05,,3372.05,3360.05,0.5,,ENTRY_SIGNAL
32,2025-08-13 11:24:00,EXIT,3366.05,3360.05,3372.05,3360.05,0.5,30.0,TP_HIT
31,2025-08-13 11:25:00,EXIT,3365.513,3359.513,3371.513,3359.513,0.5,30.0,TP_HIT
33,2025-08-13 11:55:00,ENTRY,3361.082,,3355.082,3367.082,0.5,,ENTRY_SIGNAL
